Trend_x,Trend_y,Residuals_x,Residuals_y
0.,111.528838897,0.,-0.778838897
1.,111.7738396653,1.,0.0161603347
2.,111.9410693926,2.,0.8789306074
3.,112.0348526694,3.,-0.0748526694
4.,112.0595140860,4.,-0.0995140860
5.,112.0193782332,5.,-0.0593782332
6.,111.9187697012,6.,3.4112302988
7.,111.7620130807,7.,3.5679869193
8.,111.5534329622,8.,1.1765670378
9.,111.2973539361,9.,1.4326460639
10.,110.9981005929,10.,-4.5081005929
11.,110.6599975232,11.,-2.6599975232
12.,110.2873693175,12.,-4.1473693175
13.,109.8845405663,13.,-1.8845405663
14.,109.4558358600,14.,-3.3158358600
15.,109.0055797892,15.,-4.7055797892
16.,108.5380969444,16.,-4.2380969444
17.,108.0577119161,17.,1.2822880839
18.,107.5687492948,18.,2.1412507052
19.,107.0755336709,19.,2.2644663291
20.,106.5823896351,20.,3.1276103649
21.,106.0936417778,21.,5.7063582222
22.,105.6136146894,22.,8.9963853106
23.,105.1466329606,23.,9.4633670394
24.,104.6970211818,24.,-1.0970211818
25.,104.2691039435,25.,-3.3591039435
26.,103.8439697388,26.,-3.9939697388
27.,103.5176019842,27.,-3.6676019842
28.,103.3282867109,28.,-4.3882867109
29.,103.1973338014,29.,-2.6373338014
30.,103.1263584679,30.,-0.6363584679
31.,103.052006614,31.,-0.562006614
32.,103.1300004530,32.,-1.5200004530
33.,103.3063022945,33.,-1.6963022945
34.,103.7270662982,34.,-2.1170662982
35.,104.3415320845,35.,-3.5015320845
36.,104.8191655530,36.,-3.9791655530
37.,105.3475353915,37.,-1.1575353915
38.,105.7701438311,38.,-0.3701438311
39.,106.1271045777,39.,-0.0971045777
40.,106.3700856192,40.,0.7399143808
41.,106.4984303155,41.,0.0115696845
42.,106.5731688147,42.,-0.0631688147
43.,106.7998892387,43.,-4.5598892387
44.,107.0160116877,44.,-4.7760116877
45.,107.2095771139,45.,-2.3095771139
46.,107.3541876373,46.,-2.4541876373
47.,107.6579562391,47.,-2.6579562391
48.,108.1435543274,48.,-0.1435543274
49.,108.6572119414,49.,8.0427880586
50.,108.7537821921,50.,7.9462178079
51.,108.7503390790,51.,6.099660921
52.,108.6833835421,52.,6.1666164579
53.,108.6032899952,53.,4.9967100048
54.,108.4515252894,54.,4.4984747106
55.,108.3037939704,55.,4.6462060296
56.,108.1154275295,56.,7.2045724705
57.,107.7829894222,57.,8.6470105778
58.,107.4301848286,58.,8.9998151714
59.,107.0476626877,59.,0.7223373123
60.,106.6735676912,60.,-4.8935676912
61.,106.2805703413,61.,-6.8805703413
62.,105.7774232712,62.,-8.1774232712
63.,105.4021284740,63.,-7.8021284740
64.,105.1269944959,64.,-4.8369944959
65.,104.9559931142,65.,-3.6359931142
66.,104.9716113615,66.,-2.7116113615
67.,104.9910965141,67.,-2.0210965141
68.,105.1940234207,68.,-2.9340234207
69.,105.2540571700,69.,-2.2840571700
70.,105.2407812181,70.,-1.7207812181
71.,105.1043389431,71.,0.9456610569
72.,104.9026095721,72.,-1.3826095721
73.,104.6842308999,73.,-3.6942308999
74.,104.6625626854,74.,-3.6725626854
75.,104.8991395049,75.,-0.4791395049
76.,105.1591277266,76.,-0.7391277266
77.,105.3634039276,77.,-0.9434039276
78.,105.5576588371,78.,-2.0076588371
79.,105.7882323495,79.,-2.2382323495
80.,106.019461596,80.,-2.469461596
81.,106.2757967338,81.,-0.3457967338
82.,106.5441663458,82.,4.2058336542
83.,106.9115950531,83.,3.9184049469
84.,107.2221373078,84.,4.8578626922
85.,107.3941235362,85.,4.6858764638
86.,107.3721237174,86.,4.7078762826
87.,107.3279449138,87.,8.8520550862
88.,107.1791836735,88.,9.0008163265
89.,107.0132215905,89.,8.2267784095
90.,106.8164653786,90.,6.6035346214
91.,106.6663541643,91.,2.0636458357
92.,106.7016842964,92.,1.3583157036
93.,106.9736881923,93.,-5.8836881923
94.,107.0612657138,94.,-7.3512657138
95.,107.1701637636,95.,-7.4601637636
96.,107.2241201386,96.,-2.3841201386
97.,107.3358354663,97.,-1.0858354663
98.,107.3067167999,98.,-1.0567167999
99.,107.1749507350,99.,-5.3949507350
100.,107.0066742169,100.,-5.3366742169
101.,106.8590674760,101.,-5.0790674760
102.,106.7253262815,102.,-3.9653262815
103.,106.5787750572,103.,-2.3887750572
104.,106.5044759791,104.,-3.7444759791
105.,106.3869029876,105.,-3.4769029876
106.,106.2335416431,106.,-3.3235416431
107.,106.1125497746,107.,0.2574502254
108.,106.1653380597,108.,0.2046619403
109.,106.2098946748,109.,4.9901053252
110.,106.2566522458,110.,3.3933477542
111.,106.3111155406,111.,4.8888844594
112.,106.3733280482,112.,3.2766719518
113.,106.6027746948,113.,4.3572253052
114.,106.8450932071,114.,4.1149067929
115.,107.1213214342,115.,7.5086785658
116.,107.3167161204,116.,7.3132838796
117.,107.3564343473,117.,2.0635656527
118.,107.3969256382,118.,-6.3769256382
119.,107.3550911685,119.,-2.3050911685
120.,107.2205495028,120.,-3.4405495028
121.,106.9187272645,121.,-1.8687272645
122.,106.7482663254,122.,-1.8682663254
123.,106.5641756325,123.,-0.0341756325
124.,106.4300520963,124.,0.0999479037
125.,106.1605683028,125.,0.3694316972
126.,105.8702887948,126.,2.6397112052
127.,105.5652791683,127.,2.1447208317
128.,105.2477537430,128.,2.462246257
129.,104.9853496115,129.,-1.5553496115
130.,104.6714600557,130.,-1.2414600557
131.,104.3962123717,131.,-1.2462123717
132.,104.1896339668,132.,-1.0396339668
133.,103.9601689732,133.,-2.6101689732
134.,103.7997467666,134.,-2.4497467666
135.,103.7551976262,135.,-1.2751976262
136.,103.6771573535,136.,-1.1971573535
137.,103.5892615914,137.,-1.0292615914
138.,103.4364264196,138.,-1.6964264196
139.,103.4128517067,139.,-0.8528517067
140.,103.5035368865,140.,-1.7635368865
141.,103.7550780312,141.,0.1349219688
142.,104.0249081519,142.,1.4850918481
143.,104.1799075857,143.,1.3300924143
144.,104.080197966,144.,-3.240197966
145.,104.0799669302,145.,-3.2399669302
146.,104.0932254411,146.,0.9167745589
147.,104.1745384946,147.,0.8954615054
148.,104.2208004711,148.,2.9491995289
149.,104.2021898571,149.,1.7178101429
150.,104.0855888016,150.,1.8344111984
151.,104.0916910915,151.,1.8283089085
152.,104.0483856939,152.,1.8516143061
153.,104.1409067023,153.,2.6990932977
154.,104.1330632630,154.,2.036936737
155.,104.0958288976,155.,2.0741711024
156.,104.0543668033,156.,0.3156331967
157.,103.9998935423,157.,-3.1098935423
158.,103.6798520918,158.,0.6401479082
159.,103.2640191171,159.,-1.6640191171
160.,102.9025554373,160.,-0.4525554373
161.,102.6289596593,161.,-0.1789596593
162.,102.4102598020,162.,2.649740198
163.,102.3926806949,163.,4.5273193051
164.,102.367633242,164.,2.6923667580
165.,102.2895802849,165.,-0.1895802849
166.,102.2198577544,166.,-0.9298577544
167.,102.2586058574,167.,-0.1586058574
168.,102.5101164239,168.,-0.6601164239
169.,102.9593091576,169.,-1.1093091576
170.,103.2363446511,170.,-1.3863446511
171.,103.4101200480,171.,-3.8801200480
172.,103.6826523817,172.,-6.1726523817
173.,103.9121604113,173.,-6.4021604113
174.,104.2789367823,174.,-3.4089367823
175.,104.5585924936,175.,0.0414075064
176.,104.8698054316,176.,-3.9998054316
177.,105.1325808059,177.,0.1174191941
178.,105.3816802193,178.,-4.6816802193
179.,105.516440463,179.,-0.626440463
180.,105.8084733516,180.,-3.6684733516
181.,106.0372352715,181.,-3.8972352715
182.,106.2808004711,182.,-4.1408004711
183.,106.3445239983,183.,5.5654760017
184.,106.5484989467,184.,8.6115010533
185.,106.6571202066,185.,8.5028797934
186.,106.8201173299,186.,8.3398826701
187.,106.9802276382,187.,8.1797723618
188.,107.1898647761,188.,2.4701352239
189.,107.3348648893,189.,2.3251351107
190.,107.4344164081,190.,5.6855835919
191.,107.5461935718,191.,5.5738064282
192.,107.7296405355,192.,4.9703594645
193.,107.8712860993,193.,0.1487139007
194.,107.7844974971,194.,-6.5344974971
195.,107.6683356361,195.,-6.4183356361
196.,107.4952329611,196.,-4.1652329611
197.,107.2230120728,197.,-3.8930120728
198.,106.8311243743,198.,-2.2611243743
199.,106.2744041768,199.,-4.4644041768
200.,105.9185107250,200.,-2.6185107250
201.,105.5348916170,201.,-3.6048916170
202.,105.044711092,202.,-1.744711092
203.,104.6875772951,203.,-1.0275772951
204.,104.1882275929,204.,4.8717724071
205.,103.8144682779,205.,-0.1544682779
206.,103.5982667784,206.,2.4617332216
207.,103.4417570047,207.,0.4182429953
208.,103.2145865138,208.,2.8454134862
209.,103.2646460848,209.,1.0653539152
210.,103.5141484518,210.,0.8158515482
211.,103.8086221658,211.,-1.3686221658
212.,104.0014403497,212.,-2.5614403497
213.,104.2222342522,213.,-2.7822342522
214.,104.2501789395,214.,1.1598210605
215.,104.2365983374,215.,1.1734016626
216.,104.2981949761,216.,-2.7981949761
217.,104.3231586219,217.,-7.8331586219
218.,104.3343763166,218.,-7.8443763166
219.,104.1966318603,219.,-1.7666318603
220.,103.8225762758,220.,-1.3925762758
221.,103.3913755691,221.,0.0686244309
222.,102.9539926159,222.,0.5060073841
223.,102.4089374618,223.,1.6510625382
224.,101.9594328297,224.,6.4905671703
225.,101.3920106911,225.,2.6679893089
